date,region,pm25,temperature,humidity
2024-12-31,New Delhi-8118,278.2,26.4,53.98
2025-01-01,New Delhi-8118,187.54,26.68,46.31
2025-01-02,New Delhi-8118,207.11,28.36,53.81
2025-01-02,US Diplomatic Post: New Delhi-8118,210.8,26.78,49.94
2025-01-03,US Diplomatic Post: New Delhi-8118,158.46,28.31,48.18
2025-01-04,New Delhi-8118,-504.8,25.87,60.06
2025-01-04,US Diplomatic Post: New Delhi-8118,296.89,27.57,49.75
2025-01-05,New Delhi-8118,-999.0,26.89,53.74
2025-01-05,US Diplomatic Post: New Delhi-8118,-999.0,26.74,51.73
2025-01-06,US Diplomatic Post: New Delhi-8118,-999.0,27.51,48.58
2025-01-07,US Diplomatic Post: New Delhi-8118,-999.0,28.05,52.12
2025-01-08,US Diplomatic Post: New Delhi-8118,-131.21,27.05,54.67
2025-01-09,US Diplomatic Post: New Delhi-8118,292.67,28.58,52.64
2025-01-10,US Diplomatic Post: New Delhi-8118,165.25,28.26,49.09
2025-01-11,US Diplomatic Post: New Delhi-8118,157.42,26.8,47.29
2025-01-12,New Delhi-8118,139.4,30.3,51.73
2025-01-12,US Diplomatic Post: New Delhi-8118,157.95,28.77,45.6
2025-01-13,New Delhi-8118,120.95,28.55,48.96
2025-01-13,US Diplomatic Post: New Delhi-8118,121.4,26.79,53.32
2025-01-14,US Diplomatic Post: New Delhi-8118,203.29,26.26,51.69
2025-01-15,US Diplomatic Post: New Delhi-8118,177.92,28.81,47.28
2025-01-16,US Diplomatic Post: New Delhi-8118,118.08,28.9,50.94
2025-01-17,US Diplomatic Post: New Delhi-8118,136.96,26.63,50.87
2025-01-18,US Diplomatic Post: New Delhi-8118,184.75,28.61,47.11
2025-01-19,US Diplomatic Post: New Delhi-8118,165.33,27.54,52.14
2025-01-20,New Delhi-8118,156.8,29.27,50.14
2025-01-20,US Diplomatic Post: New Delhi-8118,-87.42,27.59,51.73
2025-01-21,New Delhi-8118,129.95,25.79,49.6
2025-01-21,US Diplomatic Post: New Delhi-8118,136.6,25.92,53.1
2025-01-22,US Diplomatic Post: New Delhi-8118,126.67,27.14,51.74
2025-01-23,US Diplomatic Post: New Delhi-8118,101.17,25.8,50.96
2025-01-24,US Diplomatic Post: New Delhi-8118,88.29,27.52,48.67
2025-01-25,US Diplomatic Post: New Delhi-8118,71.46,26.54,44.76
2025-01-26,US Diplomatic Post: New Delhi-8118,95.88,28.38,51.53
2025-01-27,US Diplomatic Post: New Delhi-8118,109.38,27.23,52.7
2025-01-28,US Diplomatic Post: New Delhi-8118,136.04,27.13,48.82
2025-01-29,US Diplomatic Post: New Delhi-8118,233.88,28.03,48.61
2025-01-30,US Diplomatic Post: New Delhi-8118,74.96,27.99,49.37
2025-01-31,US Diplomatic Post: New Delhi-8118,47.71,26.22,49.04
2025-02-01,US Diplomatic Post: New Delhi-8118,155.54,27.97,48.58
2025-02-02,US Diplomatic Post: New Delhi-8118,177.0,26.9,53.23
2025-02-03,US Diplomatic Post: New Delhi-8118,106.33,27.61,54.95
2025-02-04,US Diplomatic Post: New Delhi-8118,163.29,29.29,53.6
2025-02-05,US Diplomatic Post: New Delhi-8118,104.17,26.83,50.75
2025-02-06,US Diplomatic Post: New Delhi-8118,83.08,27.95,51.57
2025-02-07,US Diplomatic Post: New Delhi-8118,65.79,27.32,52.19
2025-02-08,US Diplomatic Post: New Delhi-8118,86.25,27.27,49.68
2025-02-09,US Diplomatic Post: New Delhi-8118,118.54,27.14,52.7
