timestamp,region,pm25,temperature,humidity,pm25_zscore,temperature_zscore,humidity_zscore,date,hour,pm25_rolling_avg_3,pm25_lag_1,pm25_rate_of_change
2024-12-31 19:30:00+00:00,New Delhi-8118,371.0,23.05,48.52,1.44,-1.04,-0.15,2024-12-31,19,371.0,,
2024-12-31 20:30:00+00:00,New Delhi-8118,343.0,31.96,58.66,1.31,1.0,0.74,2024-12-31,20,357.0,371.0,-28.0
2024-12-31 21:30:00+00:00,New Delhi-8118,286.0,20.16,55.91,1.04,-1.71,0.5,2024-12-31,21,333.33,343.0,-57.0
2024-12-31 22:30:00+00:00,New Delhi-8118,204.0,25.04,46.84,0.66,-0.59,-0.3,2024-12-31,22,277.67,286.0,-82.0
2024-12-31 23:30:00+00:00,New Delhi-8118,187.0,31.79,59.99,0.59,0.96,0.86,2024-12-31,23,225.67,204.0,-17.0
2025-01-01 00:30:00+00:00,New Delhi-8118,189.0,30.4,33.38,0.59,0.64,-1.48,2025-01-01,0,193.33,187.0,2.0
2025-01-01 01:30:00+00:00,New Delhi-8118,185.0,20.65,47.49,0.58,-1.59,-0.24,2025-01-01,1,187.0,189.0,-4.0
2025-01-01 02:30:00+00:00,New Delhi-8118,165.0,24.72,33.28,0.48,-0.66,-1.49,2025-01-01,2,179.67,185.0,-20.0
2025-01-01 03:30:00+00:00,New Delhi-8118,154.0,28.47,31.41,0.43,0.2,-1.65,2025-01-01,3,168.0,165.0,-11.0
2025-01-01 04:30:00+00:00,New Delhi-8118,170.0,20.3,34.4,0.51,-1.67,-1.39,2025-01-01,4,163.0,154.0,16.0
2025-01-01 05:30:00+00:00,New Delhi-8118,193.0,32.29,48.4,0.61,1.08,-0.16,2025-01-01,5,172.33,170.0,23.0
2025-01-01 06:30:00+00:00,New Delhi-8118,188.0,21.58,54.71,0.59,-1.38,0.4,2025-01-01,6,183.67,193.0,-5.0
2025-01-01 07:30:00+00:00,New Delhi-8118,176.0,21.0,52.27,0.53,-1.51,0.18,2025-01-01,7,185.67,188.0,-12.0
2025-01-01 08:30:00+00:00,New Delhi-8118,202.0,32.99,44.8,0.65,1.24,-0.48,2025-01-01,8,188.67,176.0,26.0
2025-01-01 09:30:00+00:00,New Delhi-8118,196.0,20.35,51.89,0.63,-1.66,0.15,2025-01-01,9,191.33,202.0,-6.0
2025-01-01 10:30:00+00:00,New Delhi-8118,202.0,27.42,69.05,0.65,-0.04,1.66,2025-01-01,10,200.0,196.0,6.0
2025-01-01 11:30:00+00:00,New Delhi-8118,204.0,22.73,40.2,0.66,-1.12,-0.88,2025-01-01,11,200.67,202.0,2.0
2025-01-01 12:30:00+00:00,New Delhi-8118,203.0,23.11,41.84,0.66,-1.03,-0.74,2025-01-01,12,203.0,204.0,-1.0
2025-01-01 13:30:00+00:00,New Delhi-8118,206.0,31.57,38.57,0.67,0.91,-1.02,2025-01-01,13,204.33,203.0,3.0
2025-01-01 14:30:00+00:00,New Delhi-8118,196.0,27.9,69.83,0.63,0.07,1.73,2025-01-01,14,201.67,206.0,-10.0
2025-01-01 15:30:00+00:00,New Delhi-8118,211.0,30.96,48.88,0.7,0.77,-0.12,2025-01-01,15,204.33,196.0,15.0
2025-01-01 16:30:00+00:00,New Delhi-8118,213.0,21.19,37.86,0.71,-1.47,-1.09,2025-01-01,16,206.67,211.0,2.0
2025-01-01 17:30:00+00:00,New Delhi-8118,205.0,23.98,69.18,0.67,-0.83,1.67,2025-01-01,17,209.67,213.0,-8.0
2025-01-01 18:30:00+00:00,New Delhi-8118,200.0,33.26,50.42,0.65,1.3,0.02,2025-01-01,18,206.0,205.0,-5.0
2025-01-01 19:30:00+00:00,New Delhi-8118,163.0,32.97,30.31,0.47,1.23,-1.75,2025-01-01,19,189.33,200.0,-37.0
2025-01-01 20:30:00+00:00,New Delhi-8118,158.0,33.69,32.72,0.45,1.4,-1.54,2025-01-01,20,173.67,163.0,-5.0
2025-01-01 21:30:00+00:00,New Delhi-8118,173.0,32.7,48.86,0.52,1.17,-0.12,2025-01-01,21,164.67,158.0,15.0
2025-01-01 22:30:00+00:00,New Delhi-8118,173.0,22.59,56.19,0.52,-1.15,0.53,2025-01-01,22,168.0,173.0,0.0
2025-01-01 23:30:00+00:00,New Delhi-8118,176.0,23.52,45.46,0.53,-0.94,-0.42,2025-01-01,23,174.0,173.0,3.0
2025-01-02 00:30:00+00:00,New Delhi-8118,174.0,33.43,60.81,0.53,1.34,0.93,2025-01-02,0,174.33,176.0,-2.0
2025-01-02 01:30:00+00:00,New Delhi-8118,153.0,33.43,43.46,0.43,1.34,-0.59,2025-01-02,1,167.67,174.0,-21.0
2025-01-02 02:30:00+00:00,New Delhi-8118,140.0,33.23,50.12,0.37,1.29,-0.01,2025-01-02,2,155.67,153.0,-13.0
2025-01-02 03:30:00+00:00,New Delhi-8118,167.0,29.2,57.94,0.49,0.37,0.68,2025-01-02,3,153.33,140.0,27.0
2025-01-02 04:30:00+00:00,New Delhi-8118,204.0,27.18,45.82,0.66,-0.1,-0.39,2025-01-02,4,170.33,167.0,37.0
2025-01-02 05:30:00+00:00,New Delhi-8118,204.0,32.49,69.8,0.66,1.12,1.73,2025-01-02,5,191.67,204.0,0.0
2025-01-02 06:30:00+00:00,New Delhi-8118,209.0,32.09,54.59,0.69,1.03,0.39,2025-01-02,6,205.67,204.0,5.0
2025-01-02 07:30:00+00:00,New Delhi-8118,179.0,28.4,69.57,0.55,0.18,1.7,2025-01-02,7,197.33,209.0,-30.0
2025-01-02 08:30:00+00:00,New Delhi-8118,190.0,25.99,63.46,0.6,-0.37,1.17,2025-01-02,8,192.67,179.0,11.0
2025-01-02 09:30:00+00:00,New Delhi-8118,213.0,26.75,52.96,0.71,-0.19,0.24,2025-01-02,9,194.0,190.0,23.0
2025-01-02 10:30:00+00:00,New Delhi-8118,217.0,21.02,35.9,0.72,-1.51,-1.26,2025-01-02,10,206.67,213.0,4.0
2025-01-02 11:30:00+00:00,New Delhi-8118,191.0,20.13,49.35,0.6,-1.71,-0.07,2025-01-02,11,207.0,217.0,-26.0
2025-01-02 12:30:00+00:00,New Delhi-8118,198.0,34.11,62.04,0.64,1.49,1.04,2025-01-02,12,202.0,191.0,7.0
2025-01-02 13:30:00+00:00,New Delhi-8118,217.0,27.89,61.38,0.72,0.07,0.98,2025-01-02,13,202.0,198.0,19.0
2025-01-02 14:30:00+00:00,New Delhi-8118,262.0,23.85,36.01,0.93,-0.86,-1.25,2025-01-02,14,225.67,217.0,45.0
2025-01-02 15:30:00+00:00,New Delhi-8118,308.0,27.01,49.16,1.15,-0.14,-0.09,2025-01-02,15,262.33,262.0,46.0
2025-01-02 16:30:00+00:00,New Delhi-8118,291.0,28.25,53.05,1.07,0.15,0.25,2025-01-02,16,287.0,308.0,-17.0
2025-01-02 17:30:00+00:00,New Delhi-8118,210.0,28.67,43.18,0.69,0.25,-0.62,2025-01-02,17,269.67,291.0,-81.0
